Project name,Tech provider ,Website,Customer/Owner,State,Power [MW],Energy  [MWh],Duration [h],Technology Type,Detailed Technology,Status
59 federal rdcsg,Dresser-Rand,http://www.powersouth.com/wp-content/uploads/2017/07/CAES-Brochure-FINAL.pdf,PowerSouth Energy Cooperative,Alabama,110,2860,26,Mechanical,Compressed Air Storage,Operational
71 charlotte furnace rd hybridcsg,Dresser-Rand,http://www.apexcaes.com/bethel-energy-center,Apex Compressed Air Energy Storage,Texas,317,30432,96,Mechanical,Compressed Air Storage,Operational
98th street,PowerSouth Energy Cooperative,https://www.baldwinemc.com/compressed-air-energy-storage-technology-generating-electricity-out-of-thin-air/,PowerSouth Energy Cooperative,Alabama,110,2860,26,Mechanical,Compressed Air Storage,Operational
AEP Bluffton NaS Energy Storage System,Sage Geosystems,https://www.sagegeosystems.com/,Electric Reliability Council of Texas,Texas,0.2,3.6,18,Chemical,Geopressured Geothermal System (GGS),Operational
AEP Churubusco NaS Battery Energy Storage System,"VCharge, Inc.",http://vcharge-energy.com/projects/,"VCharge, Inc.",Pennsylvania,2.01,10.05,5,Thermal,Heat Thermal Storage,Operational
AEP Milton NaS Battery Energy Storage System,ESS,https://essinc.com/,Sacramento Municipality Utility,California,0.3,3,12,Electrochemical,Iron Flow Battery,Operational
AES Alamitos Energy Storage Array,ESS,https://essinc.com/,TerraSol Energies,Pensylvania,0.075,0.5,7,Electrochemical,Iron Flow Battery,Operational
aes es gilbert,ESS,https://essinc.com/,Burbank Water and Power,California,0.075,0.5,7,Electrochemical,Iron Flow Battery,Operational
aes kekaha solar llc hybrid,CALMAC,http://www.green-technology.org/gcccollege-gcschools/images/LACCD_Sustainable_Building_Pgm_1.pdf,Los Angeles Community College District,California,4.62,27.72,6,Thermal,Latent Heat,Operational
allergan,CALMAC,http://the.honoluluadvertiser.com/article/2008/Mar/18/bz/hawaii803180341.html,"Nordstrom, Inc.",Hawaii,1.2,7.2,6,Thermal,Latent Heat,Operational
AltaGas Pomona Energy - SCE / Greensmith Energy,CALMAC Corp.,http://www.calmac.com/how-energy-storage-works,Ingersoll Rand,Colorado,3.517,14.068,4,Thermal,Latent Heat,Operational
babcock solar center hybrid,CALMAC,https://smartgrid.gov/project/consolidated_edison_company_ny_interoperability_demand_response_resources_demonstration_ny/,Verizon,New York,1,10,10,Thermal,Latent Heat,Operational
Bad Creek Pumped Hydro Storage,CALMAC,http://www.calmac.com/stuff/contentmgr/files/0/9e42be7ce800b33ed5d169183104947a/files/shellpointcasestudy.pdf,Shell Point Retirement Village,Florida,4.8,28.8,6,Thermal,Latent Heat,Operational
baker,,http://www.calmac.com/underwriters-laboratories,Underwriters Laboratories,Illinois,1.25,17.5,14,Thermal,Latent Heat,Operational
Bear Swamp Hydroelectric Power Station,CALMAC,http://www.calmac.com/sarasota-county-school-district-achieves-20-mw,Sarasota County,Florida,20,160,8,Thermal,Latent Heat,Operational
Bethel Energy Center - Apex Compressed Air Energy Storage - 317 MW Compressed Air Energy Storage,CALMAC,http://www.calmac.com/large-energy-storage-project-university-of-arizona,University of Arizona,Arizona,3,18,6,Thermal,Latent Heat,Operational
Big Creek (John S. Eastwood) Pumped Storage,,http://www.calmac.com/,Nissan,Michigan,1.425,22.8,16,Thermal,Latent Heat,Operational
Blenheim-Gilboa Pumped Storage Power Project,CALMAC,http://www.calmac.com/energy-storage-case-study-rockefeller-center,Tishman Speyer,New York,1.025,15.375,15,Thermal,Latent Heat,Operational
blythe solar ii llc,CALMAC,http://www.calmac.com/press-release-jcpenney-headquarters-benefits-from-25-years-of-energy-storage-using-calmac-icebank-technology,JC Penney,Texas,4.425,53.1,12,Thermal,Latent Heat,Operational
Bucknell University Thermal Energy Storage,Ice Energy,http://www.redding.com/story/opinion/contributors/local-voices/2009/08/27/reu_on_ice/96762048/,Redding Electric Utility,California,1,6,6,Thermal,Latent Heat,Operational
Cabin Creek Generating Station,EnerSys,https://www.multihousingnews.com/post/glenwood-to-build-distributed-energy-storage-for-nyc-apartments/,Glenwood Management,New York,1,4,4,Electrochemical,Lead-Acid,Operational
Cache Creek Casino,,,,Arizona,2,8,4,Electrochemical,Lithium-ion,Operational
cal flats bess,,,GMP VT Microgrid LLC,Vermont,2,8,4,Electrochemical,Lithium-ion,Operational
California State University Long Beach Campus - AMS,,,GMP VT Microgrid LLC,Vermont,2,8,4,Electrochemical,Lithium-ion,Operational
Castaic Pumped-Storage Plant,,,,California,100,400,4,Electrochemical,Lithium-ion,Operational
Charleston NaS Energy Storage Project - AEP ,,,,California,60,242,4.033333333,Electrochemical,Lithium-ion,Operational
Chukar Battery Energy Storage System,,,Macquarie Capital,California,4.5,27,6,Electrochemical,Lithium-ion,Operational
citrus solar center hybrid,,,,Florida,4,16,4,Electrochemical,Lithium-ion,Operational
Clinton County BESS - Exelon / RES,,,,New York,3,12,4,Electrochemical,Lithium-ion,Operational
ConEdison Interoperability of Demand Response Resources: Thermal,,,,Arizona,10,40,4,Electrochemical,Lithium-ion,Operational
Crescent Dunes Solar Energy Project,,,,Florida,10,40,4,Electrochemical,Lithium-ion,Operational
cronin road solar 1 llc csg hybrid,,,,California,10,40,4,Electrochemical,Lithium-ion,Operational
csu long beach,Samsung SDI,http://www.aes.com/investors/press-releases/press-release-details/2016/AES-to-Deploy-375-MW-of-Advancion-Energy-Storage-Arrays-for-SDGE/default.aspx,San Diego Gas & Electric (SDG&E),California,7.5,30,4,Electrochemical,Lithium-ion,Operational
dats,,,,Massachusetts,2,9,4.5,Electrochemical,Lithium-ion,Operational
Deepwater Wind-New York ,,,,Hawaii,14,70,5,Electrochemical,Lithium-ion,Operational
desert harvest ii llc,Samsung,http://www.prnewswire.com/news-releases/exelon-generation-and-res-announce-10-mw-battery-storage-project-300254050.html,Exelon Generation,Ohio,10,250,25,Electrochemical,Lithium-ion,Operational
Disney California Adventure,,,Sk Holdings Co. Ltd. (50%); SUSI Partners AG (50%),California,4.9,32.6,6.653061224,Electrochemical,Lithium-ion,Operational
downey,,,,California,35,140,4,Electrochemical,Lithium-ion,Operational
dunstable solar 1 llc,,,,Washington,1,4,4,Electrochemical,Lithium-ion,Operational
EarthStore Facility,,,,Massachusetts,1.5,7.7,5.133333333,Electrochemical,Lithium-ion,Operational
east hampton center,,,,California,1,4,4,Electrochemical,Lithium-ion,Operational
Escondido Energy Storage,,,,California,6,24,4,Electrochemical,Lithium-ion,Operational
Fairfield Pumped Storage,,,Sk Holdings Co. Ltd. (50%); SUSI Partners AG (50%),California,1,5,5,Electrochemical,Lithium-ion,Operational
gmp solarstorageessex hybrid,,,,California,10,40,4,Electrochemical,Lithium-ion,Operational
gmp solarstorageferrisburgh hybrid,,,Sk Holdings Co. Ltd. (50%); SUSI Partners AG (50%),California,2.5,15,6,Electrochemical,Lithium-ion,Operational
gmp solarstoragemilton hybrid,,,Macquarie Capital,California,1,6.5,6.5,Electrochemical,Lithium-ion,Operational
hebt irvine 1,,,,California,230,920,4,Electrochemical,Lithium-ion,Operational
hebt irvine 1,,,,California,9,36,4,Electrochemical,Lithium-ion,Operational
hebt irvine 2,,,Sk Holdings Co. Ltd. (50%); SUSI Partners AG (50%),California,1.2,6.3,5.25,Electrochemical,Lithium-ion,Operational
hebt irvine 2,AES Energy Storage,http://www.aesenergystorage.com/2014/11/05/aes-help-sce-meet-local-power-reliability-20-year-power-purchase-agreement-energy-storage-california-new-facility-will-provide-100-mw-interconnected-storage-equivalent-200-mw/?utm_source=Energy+Storage+Report&amp;utm_campaign=859e0b3526-ESR_2_10_1210_2_2012&amp;utm_medium=email&amp;utm_term=0_bd57f7e9aa-859e0b3526-80843329,AES Southland,California,100,400,4,Electrochemical,Lithium-ion,Operational
hebt wla 1,Tesla,https://www2.calstate.edu/csu-system/news/Pages/California-State-University-and-Advanced-Microgrid-Solutions-Announce-a-Portfolio-of-State-of-the-Art-Hybrid-Electric-Build.aspx,-,California,1,6,6,Electrochemical,Lithium-ion,Operational
hecate johanna facility,,,Sk Holdings Co. Ltd. (50%); SUSI Partners AG (50%),California,1,6.9,6.9,Electrochemical,Lithium-ion,Operational
hecate johanna facility,,,,California,10,40,4,Electrochemical,Lithium-ion,Operational
horn rapids solar and training,General Electric,http://renewables.seenews.com/news/deepwater-wind-plans-90-mw-offshore-wind-15-mw-storage-in-ny-504865,Deepwater Wind LLC,New York,15,60,4,Electrochemical,Lithium-ion,Operational
I25 Battery Storage,,,,Massachusetts,1,5.4,5.4,Electrochemical,Lithium-ion,Operational
Japan-US Collaborative Smart Grid Project,,,,New York,3,12,4,Electrochemical,Lithium-ion,Operational
JC Penney Headquarters - Calmac,,,Sk Holdings Co. Ltd. (50%); SUSI Partners AG (50%),California,1,6,6,Electrochemical,Lithium-ion,Operational
John W. Keys III Pump-Generating Plant,,http://www.greensmithenergy.com/greensmith-altagas-receive-grid-edge-award-record-setting-pomona-energy-storage-project,AltaGas,California,20,80,4,Electrochemical,Lithium-ion,Operational
kearsarge haverhill,,,,New York,1.6,6.6,4.125,Electrochemical,Lithium-ion,Operational
lawrp,,,Gas South,Georgia,1,4,4,Electrochemical,Lithium-ion,Operational
long beach convention center,,,,New York,2,12,6,Electrochemical,Lithium-ion,Operational
Long Island Bus BESS - New York Power Authority,,,,New York,5,40,8,Electrochemical,Lithium-ion,Operational
Los Angeles Community College District - Calmac,,,Sk Holdings Co. Ltd. (50%); SUSI Partners AG (50%),California,1.5,8.6,5.733333333,Electrochemical,Lithium-ion,Operational
Ludington Pumped Storage,,https://lorenz-g.github.io/tesla-megapack-tracker/projects/64.html,,California,115,460,4,Electrochemical,Lithium-ion,Operational
mccoy solar hybrid,,,,New York,5,40,8,Electrochemical,Lithium-ion,Operational
